Word,Frequency
slowly,20
cautious,20
rapidly,20
occupancy,20
your,20
needed,20
change,20
did,20
march,20
beach,20
humidity,20
antigen,20
largest,20
remained,19
appears,19
place,19
second,19
821,19
maryland,19
400,19
2020,19
young,19
thresholds,19
clearly,19
reach,19
learned,19
fortunately,19
louisiana,19
mississippi,19
moment,19
learn,19
island,19
virtual,19
campus,19
improved,19
modest,19
utah,18
grow,18
improvement,18
fact,18
challenging,18
lives,18
95,18
specific,18
boroughs,18
especially,18
six,18
occurring,18
seattle,18
sizes,18
changes,18
provided,18
offer,18
surrounding,18
phoenix,18
leading,18
attention,18
though,18
district,18
worsening,18
campuses,18
linked,18
temperature,18
camp,18
greatest,17
lake,17
certainly,17
vaccinating,17
6,17
vulnerable,17
february,17
rather,17
required,17
proportion,17
southeastern,17
appear,17
certain,17
guidelines,17
miami,17
becoming,17
tracing,17
falling,17
value,17
coast,17
optimistic,17
keeping,17
particular,17
reports,17
outdoor,17
outbreak,17
viral,17
boston,17
officials,17
conditions,17
third,16
mexico,16
specifically,16
places,16
necessary,16
distribution,16
identify,16
know,16
england,16
slightly,16
said,16
restaurants,16
moved,16
receive,16
themselves,16
working,16
having,16
neighboring,16
found,16
additionally,16
effect,16
small,16
illness,16
encouraged,16
hopeful,16
symptoms,16
special,16
sufficient,16
dallas,16
analysis,16
non,16
300,16
limit,16
vigilance,16
kansas,16
destinations,16
memorial,16
projecting,16
degree,16
reaching,16
tested,16
policy,16
find,16
question,16
towns,16
reopenings,16
nationwide,16
magnitude,15
order,15
hampshire,15
0,15
indicating,15
70,15
80,15
later,15
benefits,15
group,15
baltimore,15
serve,15
reduced,15
began,15
associated,15
considered,15
hospitals,15
presence,15
creating,15
add,15
recently,15
used,15
resources,15
bring,15
sense,15
planning,15
upon,15
study,15
adding,15
then,15
flexibility,15
common,15
provides,15
pace,15
continuing,14
8,14
vermont,14
dakota,14
previous,14
60,14
reviewing,14
welcome,14
risks,14
starting,14
exceeding,14
central,14
contributing,14
report,14
pre,14
making,14
resume,14
natural,14
policies,14
crowded,14
maintain,14
ll,14
screening,14
collar,14
system,14
worst,14
symptomatic,14
addition,14
understand,14
frequent,14
advance,14
stalled,14
goal,14
relative,14
surveillance,14
key,14
off,14
ultimately,14
systems,14
situation,14
mindful,14
allowing,14
decision,14
behavioral,14
worsened,14
let,13
elevated,13
september,13
doubling,13
makes,13
increasingly,13
phase,13
main,13
total,13
measured,13
evident,13
due,13
approaching,13
benefit,13
surges,13
spreading,13
patterns,13
ability,13
surpassed,13
negative,13
ensure,13
revealed,13
unique,13
avoid,13
nationally,13
never,13
helpful,13
added,13
date,13
predict,13
portland,13
mean,13
balance,13
ground,13
term,13
process,13
preparing,13
iowa,13
success,13
employees,13
looking,13
journey,13
achieve,13
part,13
feel,13
heartland,13
task,13
equilibrium,13
camps,13
9,12
concentrated,12
november,12
bear,12
slow,12
likelihood,12
enter,12
latter,12
exceeded,12
detroit,12
patience,12
appropriate,12
workers,12
three,12
hopefully,12
american,12
august,12
carolinas,12
kentucky,12
keep,12
changing,12
2021,12
thirds,12
witnessed,12
chop,12
adolescents,12
schooling,12
itself,12
furthermore,12
viruses,12
wear,12
times,12
personal,12
simply,12
multiple,12
identified,12
five,12
real,12
december,12
going,12
suggests,12
little,12
nearing,12
molecular,12
recognizing,12
short,12
layer,12
surging,12
bars,12
true,12
away,12
feet,12
allowed,12
missouri,12
getting,12
demonstrating,12
protecting,12
kids,12
absolute,11
lowest,11
salt,11
rest,11
begins,11
dose,11
indoors,11
administration,11
regarding,11
mortality,11
secondary,11
footing,11
participation,11
effort,11
unchanged,11
released,11
caution,11
known,11
largely,11
practices,11
finding,11
services,11
practical,11
detected,11
good,11
progress,11
confident,11
sun,11
stabilization,11
focused,11
course,11
importantly,11
worse,11
reveal,11
drop,11
antonio,11
remainder,11
warmer,11
opening,11
vacation,11
bit,11
reopened,11
today,11
hygiene,11
facilities,11
play,11
bus,11
achieved,11
populations,11
size,11
recommended,11
exceed,11
athletes,11
extracurricular,11
dynamics,11
forecasted,11
vaccinate,11
context,11
urban,11
begun,11
delays,11
force,11
helping,11
rural,11
policymakers,11
layered,11
await,10
quarter,10
250,10
idaho,10
worsen,10
geographic,10
censuses,10
impacted,10
mild,10
physical,10
delaware,10
st,10
bay,10
transmissible,10
right,10
ever,10
accelerating,10
present,10
pressure,10
transition,10
rose,10
told,10
challenge,10
offered,10
isolation,10
consistent,10
90,10
possibility,10
lag,10
inform,10
beds,10
means,10
decreasing,10
points,10
create,10
belt,10
stabilizing,10
reassuring,10
austin,10
mo,10
comes,10
vigilant,10
share,10
choose,10
easy,10
galveston,10
understanding,10
whole,10
perhaps,10
prioritizing,10
face,10
federal,10
regular,10
watch,10
step,10
prevent,10
try,10
threshold,10
arrive,10
put,10
minneapolis,10
considering,10
great,10
multi,10
building,10
prepare,10
substantially,10
smaller,10
ece,10
availability,10
arrival,10
rhode,10
published,10
occurred,10
uncertain,9
alaska,9
800,9
showing,9
maine,9
hit,9
variation,9
endemic,9
reasons,9
emerge,9
connecticut,9
600,9
stabilize,9
valley,9
springs,9
sacramento,9
homes,9
surprised,9
build,9
offering,9
unfortunately,9
75,9
slowing,9
outside,9
doubled,9
routines,9
set,9
requires,9
mostly,9
consequences,9
knowledge,9
experts,9
prolonged,9
shifting,9
direction,9
student,9
signals,9
mitigate,9
space,9
adjacent,9
variable,9
carefully,9
estimate,9
contagious,9
eliminate,9
northeastern,9
rim,9
east,9
circulating,9
novel,9
interpretation,9
universities,9
detecting,9
orleans,9
head,9
meanwhile,9
hotspots,9
july,9
metro,9
activity,9
nature,9
shore,9
reasonable,9
room,9
assuming,9
issues,9
funding,9
widely,9
limitations,9
financial,9
maintaining,9
trying,9
ourselves,9
ga,9
say,9
rs,9
ind,9
va,9
shift,9
achieving,9
middle,9
started,9
morbidity,9
allows,9
information,9
unlikely,9
path,9
assess,9
oregon,9
happening,9
teams,9
window,9
tell,9
validation,9
montana,8
wider,8
climbing,8
developing,8
accompanied,8
11,8
media,8
700,8
type,8
campaigns,8
americans,8
highlighting,8
16,8
warning,8
witnessing,8
urge,8
corner,8
seem,8
groups,8
decrease,8
effectiveness,8
receiving,8
confirm,8
action,8
sometimes,8
picture,8
abated,8
outlier,8
amongst,8
accelerated,8
2022,8
taking,8
somewhat,8
milder,8
clinical,8
closures,8
influenza,8
buildings,8
regardless,8
timing,8
symptom,8
assume,8
absence,8
develop,8
complete,8
followed,8
pose,8
trial,8
interventions,8
posts,8
conducted,8
faced,8
trend,8
entire,8
guard,8
top,8
francisco,8
indianapolis,8
wish,8
metrics,8
opportunities,8
either,8
reminder,8
tampa,8
big,8
densely,8
louis,8
midwestern,8
go,8
nursing,8
subsequent,8
mass,8
observing,8
coronavirus,8
nevada,8
tools,8
entirely,8
confer,8
priority,8
limiting,8
private,8
importance,8
seek,8
fallen,8
hybrid,8
resuming,8
persist,8
infectious,8
violence,8
evolving,8
accelerate,8
herd,8
expected,8
minimize,8
online,8
predicted,8
helped,8
unmasked,8
reason,8
strengthen,8
side,8
ventilation,8
became,8
enforce,8
gather,7
recommendation,7
safer,7
leads,7
aware,7
death,7
educational,7
collective,7
anxiety,7
b,7
identifying,7
studies,7
inventory,7
actions,7
playing,7
optional,7
notably,7
accumulating,7
protective,7
northward,7
teens,7
immediately,7
reliable,7
accurate,7
confirmed,7
812,7
story,7
leadership,7
requiring,7
asked,7
avert,7
pivot,7
prioritize,7
advise,7
recommend,7
primary,7
eligible,7
fell,7
outdoors,7
human,7
highlights,7
percent,7
assessment,7
tool,7
wyoming,7
cautiously,7
hover,7
steady,7
steep,7
slight,7
road,7
ample,7
anticipated,7
remaining,7
informed,7
behavior,7
orlando,7
la,7
populated,7
think,7
lot,7
greatly,7
traffic,7
height,7
severity,7
determine,7
targeted,7
drivers,7
poor,7
mental,7
issue,7
practice,7
efficient,7
range,7
statewide,7
repopulate,7
everyone,7
reduction,7
role,7
halloween,7
hovering,7
foot,7
operations,7
incorporate,7
interpret,7
predictions,7
opened,7
appropriately,7
ways,7
environments,7
live,7
gun,7
demonstrated,7
sustain,7
things,7
persistent,7
hard,7
pattern,7
climb,7
scenario,7
albeit,7
oklahoma,7
halt,7
fortunate,7
driven,7
localities,7
happen,7
sensible,7
governments,7
final,7
desert,6
struggle,6
modestly,6
predicting,6
food,6
doses,6
johnson,6
agree,6
diseases,6
childhood,6
preventing,6
caregivers,6
waves,6
becomes,6
join,6
indicates,6
reaches,6
dropping,6
midst,6
looked,6
venues,6
traveling,6
embrace,6
waited,6
fatigue,6
defined,6
completely,6
want,6
18,6
31,6
tail,6
extremely,6
foresee,6
message,6
experiences,6
instead,6
shown,6
research,6
advantage,6
fear,6
strict,6
actually,6
significantly,6
resilient,6
returns,6
reflect,6
challenged,6
demand,6
adapt,6
grown,6
environment,6
prepared,6
setting,6
manage,6
staffing,6
shortages,6
reductions,6
introducing,6
onset,6
household,6
isolate,6
otherwise,6
single,6
speculation,6
819,6
median,6
fatalities,6
careful,6
environmental,6
susceptible,6
behaviors,6
uptake,6
beset,6
random,6
capture,6
occupied,6
detect,6
million,6
revert,6
delivery,6
simultaneously,6
easier,6
line,6
150,6
staten,6
except,6
las,6
vegas,6
almost,6
lack,6
steps,6
calif,6
president,6
source,6
immediate,6
always,6
leave,6
contain,6
coastal,6
elsewhere,6
arkansas,6
field,6
thought,6
agencies,6
highlighted,6
participate,6
don,6
heard,6
noting,6
overcome,6
dr,6
together,6
reliably,6
takes,6
instance,6
extend,6
act,6
arts,6
easily,6
independent,6
implement,6
dire,6
epicenters,6
wait,6
fourth,6
responses,6
governors,6
orders,6
bend,6
notre,6
dame,6
toll,6
worrisome,6
adherence,6
opinion,6
stand,6
practicing,6
enforced,6
examine,6
peaked,6
ages,6
swift,6
worth,6
bears,6
net,6
extent,6
multilayered,6
academic,6
maximize,6
implemented,6
turning,6
adjust,6
navigating,6
facing,6
stabilized,6
service,6
terms,6
color,6
economic,6
according,6
dramatically,6
arrives,6
pa,6
consistently,6
valuable,6
transmit,6
quite,6
brighter,6
density,6
convinced,6
white,6
house,6
stronger,6
quick,6
recover,6
april,6
dramatic,6
translate,6
abate,6
mixed,6
curve,6
wide,6
apparent,6
dynamic,6
accumulated,6
resulting,6
commit,6
account,6
masked,6
doing,6
combination,6
discuss,6
latest,6
brief,6
complex,6
previously,6
business,6
yes,6
r,6
compliance,6
customers,6
seasons,6
resilience,6
813,5
comfort,5
respectively,5
supports,5
seems,5
wonder,5
address,5
remind,5
readers,5
lost,5
illnesses,5
grandparents,5
emotional,5
caused,5
old,5
contribute,5
upstate,5
suggested,5
kingdom,5
changed,5
tracking,5
track,5
persists,5
eliminating,5
ideal,5
series,5
flu,5
friends,5
assumptions,5
unreliable,5
temperate,5
proving,5
lagging,5
planned,5
revealing,5
epidemiology,5
closer,5
amidst,5
spectrum,5
twice,5
admitted,5
consensus,5
conclude,5
solutions,5
feasible,5
resourced,5
disproportionately,5
whose,5
heightened,5
reviewed,5
emphasis,5
emphasize,5
opt,5
prioritized,5
strongly,5
flexible,5
happy,5
chance,5
queens,5
brooklyn,5
spend,5
responsible,5
guide,5
reviews,5
notes,5
observations,5
rolling,5
acute,5
evolve,5
roll,5
speed,5
diego,5
implementation,5
contacts,5
horizon,5
volume,5
decreased,5
represent,5
influence,5
forces,5
bringing,5
rules,5
encouraging,5
event,5
interesting,5
meatpacking,5
richmond,5
flattening,5
curves,5
favorable,5
corridors,5
interest,5
popular,5
alone,5
hand,5
kings,5
suburbs,5
charlotte,5
messaging,5
examples,5
disproportionate,5
hesitancy,5
disparities,5
fits,5
barriers,5
deployed,5
ensuring,5
options,5
robust,5
samples,5
miss,5
tremendous,5
traditional,5
participating,5
conduct,5
maintained,5
watched,5
epidemics,5
kept,5
returned,5
scenarios,5
pause,5
universal,5
remote,5
light,5
choices,5
ongoing,5
requirement,5
recommending,5
successful,5
viewed,5
ready,5
focusing,5
theater,5
graduation,5
vs,5
mis,5
threat,5
world,5
assessing,5
resumption,5
responding,5
responsive,5
huge,5
exacerbated,5
layers,5
medical,5
ones,5
survey,5
trust,5
depend,5
mind,5
infrastructure,5
extra,5
signal,5
happens,5
ten,5
hasten,5
arrived,5
rely,5
stress,5
fragile,5
tenuous,5
shows,5
suburban,5
jama,5
release,5
interpreting,5
actual,5
raise,5
wrong,5
biggest,5
maricopa,5
purdue,5
worked,5
demonstrate,5
blunt,5
quarantines,5
exposures,5
adopt,5
similarly,5
poorly,5
exist,5
normalcy,5
aimed,5
stories,5
trials,5
resolve,5
answer,5
doesn,5
unless,5
lessons,5
performance,5
conversations,5
respond,5
equipped,5
difficulty,5
violations,5
subset,5
incorporating,5
wet,5
bulb,5
foundational,5
trajectory,4
happened,4
raised,4
western,4
differences,4
fold,4
upcoming,4
duration,4
bump,4
fda,4
booster,4
played,4
alleviate,4
absenteeism,4
inclusive,4
insufficient,4
disruption,4
looks,4
bracing,4
seven,4
appeared,4
abrupt,4
interestingly,4
underestimate,4
proven,4
simple,4
sporting,4
distance,4
resumed,4
cause,4
determining,4
contrast,4
65,4
stage,4
won,4
supply,4
suspected,4
surpassing,4
coastline,4
92,4
recorded,4
stock,4
entirety,4
truth,4
left,4
obtain,4
extreme,4
resulted,4
simultaneous,4
aged,4
shoulder,4
member,4
chronic,4
attending,4
pfizer,4
epidemiological,4
broad,4
africa,4
efficacy,4
indicators,4
something,4
alike,4
identification,4
recording,4
awareness,4
acceleration,4
celebrate,4
paradoxical,4
flint,4
85,4
omaha,4
plateau,4
weekends,4
coupled,4
emergence,4
inconsistent,4
nonetheless,4
opposing,4
amount,4
run,4
fort,4
fairly,4
hilton,4
myrtle,4
bright,4
quell,4
nashville,4
relax,4
felt,4
imperial,4
inland,4
demonstrations,4
racial,4
race,4
bronx,4
rooms,4
ventilator,4
sharp,4
rounding,4
promise,4
boost,4
seeks,4
procedures,4
select,4
lunch,4
professionals,4
healthy,4
historically,4
partners,4
highlight,4
assist,4
adopted,4
implementing,4
personnel,4
prevalence,4
various,4
batch,4
costs,4
nurses,4
passed,4
perfect,4
captured,4
unfolding,4
closed,4
sheer,4
overwhelm,4
bar,4
ala,4
insights,4
initial,4
degrade,4
failed,4
running,4
none,4
decreases,4
worry,4
criticism,4
developments,4
reflects,4
evolution,4
met,4
expanding,4
strength,4
considerations,4
considerable,4
wind,4
prom,4
accounted,4
syndrome,4
history,4
disruptions,4
underlying,4
aim,4
promoting,4
authorities,4
landscape,4
tried,4
insurance,4
paid,4
implications,4
discussed,4
utilization,4
arguably,4
visit,4
mich,4
n,4
resist,4
serious,4
confirming,4
sustaining,4
harder,4
square,4
anchorage,4
w,4
ore,4
neighbors,4
concentrating,4
milwaukee,4
newly,4
vary,4
newark,4
ski,4
stubbornly,4
explain,4
circumstances,4
absences,4
assure,4
protected,4
life,4
showed,4
thereafter,4
colleagues,4
mitigating,4
excited,4
holding,4
storm,4
frequently,4
list,4
network,4
variability,4
fastest,4
caseloads,4
committed,4
knowing,4
beneficial,4
seasonality,4
phenomenon,4
averages,4
hold,4
wash,4
lots,4
incremental,4
eye,4
delicate,4
stands,4
pediatrics,4
reveals,4
contributed,4
optimizing,4
attack,4
emerged,4
randomized,4
leagues,4
parties,4
subside,4
possibly,4
pivoting,4
projects,4
airport,4
international,4
drive,4
design,4
mandate,4
recognized,4
hurricane,4
parameters,4
cooler,4
spokane,4
warnings,4
abating,4
defining,4
performed,4
stages,4
bias,4
moderate,4
save,4
messages,4
strengthening,4
shared,4
enforcing,4
law,4
ambassadors,4
emphasizing,4
acknowledge,4
location,4
disinfection,4
motivated,4
originate,4
attributed,4
adjustments,4
caroline,4
wayne,4
prioritization,4
slowed,4
immune,4
nov,4
hunker,4
grows,3
extending,3
optimization,3
shorter,3
widening,3
drug,3
debate,3
opinions,3
position,3
zero,3
exceeds,3
preserve,3
active,3
reverse,3
macomb,3
abandoning,3
form,3
abandon,3
mobility,3
variables,3
graphs,3
expressed,3
stated,3
appreciate,3
turned,3
acquired,3
lose,3
direct,3
advising,3
turn,3
virulence,3
reinforce,3
nevertheless,3
avoided,3
savannah,3
insulate,3
mixing,3
virulent,3
approached,3
amplified,3
statistics,3
overstated,3
competing,3
towards,3
failure,3
equity,3
releasing,3
routine,3
status,3
please,3
voluntary,3
modified,3
attend,3
elect,3
option,3
transitioning,3
starts,3
telling,3
45,3
uk,3
dense,3
innate,3
shape,3
relied,3
sensitive,3
instantaneous,3
supporting,3
sobering,3
representing,3
foremost,3
enhance,3
hesitant,3
improves,3
commitments,3
tragedy,3
cleveland,3
pittsburgh,3
limits,3
seeking,3
relaxation,3
21,3
staying,3
proximity,3
call,3
handle,3
relief,3
visiting,3
america,3
converging,3
relaxed,3
madison,3
regards,3
mentioned,3
commuting,3
prisons,3
manhattan,3
jacksonville,3
summit,3
metric,3
inoculums,3
gaining,3
partner,3
relevant,3
cost,3
anyone,3
teacher,3
superior,3
police,3
chain,3
critically,3
addressing,3
buses,3
advised,3
urgency,3
launch,3
urgent,3
affordable,3
companies,3
pooled,3
regulatory,3
advantages,3
reassurance,3
conducting,3
perspective,3
accuracy,3
pool,3
aggregating,3
administering,3
leveraging,3
municipalities,3
utilizing,3
applaud,3
rescue,3
insight,3
entered,3
trained,3
worried,3
introduced,3
fragmented,3
crises,3
came,3
dare,3
auburn,3
tuscaloosa,3
institute,3
problems,3
manageable,3
fair,3
onto,3
hear,3
minimum,3
predictably,3
reversing,3
stringent,3
bolder,3
spaces,3
containing,3
82,3
tacoma,3
authorization,3
announcement,3
relatives,3
inflection,3
leg,3
steadfast,3
specifics,3
hawaii,3
super,3
bowl,3
subtle,3
breaking,3
welcomed,3
view,3
grades,3
positioned,3
repopulating,3
flex,3
lunchtime,3
recommends,3
justification,3
locker,3
held,3
instruments,3
whenever,3
likewise,3
addressed,3
wrote,3
proportional,3
partial,3
reinforced,3
fatality,3
routinely,3
measles,3
varicella,3
suffering,3
inflammatory,3
unknown,3
investigation,3
gaps,3
evaluating,3
threaten,3
pressing,3
pivoted,3
organizations,3
tirelessly,3
poverty,3
permanent,3
employer,3
income,3
enrollment,3
inequities,3
internet,3
quality,3
outcomes,3
researchers,3
peer,3
existing,3
loved,3
october,3
sales,3
sti,3
caregiving,3
fears,3
signaling,3
standing,3
society,3
resource,3
hub,3
surpass,3
buffalo,3
green,3
ariz,3
approximately,3
affect,3
recovering,3
numerous,3
host,3
unexpected,3
rises,3
free,3
warrant,3
complacent,3
mile,3
represented,3
charleston,3
columbia,3
athens,3
el,3
paso,3
prefer,3
vacations,3
neighborhoods,3
inevitable,3
publication,3
successfully,3
fail,3
maybe,3
brings,3
simplify,3
drops,3
35,3
resembles,3
delayed,3
13,3
tide,3
doors,3
alter,3
sectors,3
anticipation,3
takeaway,3
adhere,3
standards,3
dominoes,3
announced,3
situations,3
flatten,3
proof,3
aspects,3
observe,3
originating,3
compare,3
spots,3
211,3
tuned,3
general,3
documented,3
birmingham,3
typical,3
precipice,3
eve,3
eventually,3
realized,3
murder,3
george,3
floyd,3
detail,3
droplets,3
balanced,3
tenn,3
exception,3
faster,3
indicator,3
heat,3
contained,3
bearings,3
driving,3
clusters,3
runway,3
pediatricians,3
involved,3
properly,3
turns,3
fla,3
extended,3
mismatch,3
confirms,3
raises,3
economy,3
fundamental,3
varying,3
sort,3
hot,3
plateauing,3
uniformly,3
clearer,3
renewed,3
choosing,3
permitting,3
round,3
calculus,3
developed,3
tempered,3
gets,3
directly,3
gameplay,3
football,3
whom,3
inevitably,3
tradeoffs,3
managing,3
lessen,3
breaks,3
windows,3
solid,3
essex,3
enacted,3
explosive,3
movement,3
permit,3
methods,3
jing,3
fashion,3
endpoints,3
effectively,3
combat,3
attempt,3
undermine,3
notice,3
morgantown,3
cold,3
integrity,3
outlets,3
produced,3
problem,3
lived,3
locally,3
incorporated,3
collaboration,3
sure,3
reasonably,3
built,3
separate,3
target,3
wanted,3
meaningfully,3
desire,3
lockdowns,3
discussions,3
823,3
continually,3
reassured,3
created,3
executive,3
agency,3
penalties,3
owners,3
citations,3
intervention,3
offenders,3
differentiate,3
mitigated,3
nebraska,3
mutations,3
details,3
delta,3
basic,3
pueblo,3
inability,3
optimize,3
removing,3
rockland,3
validating,3
proceed,3
answers,3
apart,3
attendance,3
screen,3
nuanced,3
component,3
attendees,3
participants,3
counselors,3
transitions,3
collins,3
jeffrey,3
grateful,3
uncertainties,3
successes,3
prompt,3
actively,3
virtually,3
thing,3
distances,3
congregate,3
terrific,3
supported,3
discussion,3
rock,3
governor,3
bad,3
causes,3
upticks,3
bumpy,3
vacationers,3
residuals,3
overview,2
pronounced,2
mirroring,2
spreads,2
uptick,2
moderna,2
awaiting,2
meeting,2
impactful,2
sooner,2
died,2
complications,2
breakthrough,2
56,2
background,2
unprecedented,2
undergo,2
rigorous,2
approval,2
surged,2
coasts,2
pushed,2
originated,2
infect,2
breeches,2
sidelines,2
unacast,2
stores,2
percentage,2
reminds,2
marked,2
declare,2
64,2
completed,2
accessible,2
deter,2
nor,2
stretches,2
sight,2
explanation,2
exercise,2
recalibrate,2
pick,2
referenced,2
gathered,2
chosen,2
nice,2
gained,2
give,2
columbus,2
neither,2
circumstantial,2
demonstrates,2
soaring,2
125,2
capital,2
combined,2
entertainment,2
eventual,2
struggling,2
admission,2
unrelated,2
jan,2
14,2
650,2
record,2
22,2
weary,2
abandoned,2
predictable,2
neared,2
